PARROQUIA,ZONA,MES,DIA_SEMANA,HORA_NUM,ACCIDENTES,PROM_LESIONADOS,PROM_FALLECIDOS,PROM_TOTAL_VICTIMAS,CAUSA_MAS_FRECUENTE,TIPO_SINIESTRO_MAS_FRECUENTE,TIPO_VEHICULO_MAS_FRECUENTE,LATITUD_PROM,LONGITUD_PROM,RIESGO_PORC,NIVEL_RIESGO
BAÑOS (CUENCA),RURAL,5,3,21,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,AUTOMÓVIL,-2.958194,-79.048861,20.0,BAJO
BAÑOS (CUENCA),RURAL,5,5,5,1,3.0,0.0,3.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,-2.9525,-79.048583,20.0,BAJO
BAÑOS (CUENCA),RURAL,6,1,18,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,-2.941917,-79.045722,20.0,BAJO
BAÑOS (CUENCA),RURAL,6,3,18,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,NO IDENTIFICADO,-2.900834,-79.049716,20.0,BAJO
BAÑOS (CUENCA),RURAL,6,4,6,1,0.0,0.0,0.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,NO IDENTIFICADO,-2.951111,-79.054166,20.0,BAJO
BAÑOS (CUENCA),RURAL,6,6,18,1,0.0,0.0,0.0,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,ROZAMIENTOS,BUS,-2.922983,-79.067441,20.0,BAJO
BAÑOS (CUENCA),RURAL,7,4,1,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,AUTOMÓVIL,-2.951883,-79.048221,20.0,BAJO
BAÑOS (CUENCA),RURAL,7,6,7,1,0.0,0.0,0.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,-2.943056,-79.045556,20.0,BAJO
BAÑOS (CUENCA),RURAL,8,0,10,1,2.0,0.0,2.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,CAMIONETA,-2.957602,-79.049168,20.0,BAJO
BAÑOS (CUENCA),RURAL,8,0,15,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,MOTOCICLETA,-2.947222,-79.046111,20.0,BAJO
