FECHA,HORA,CANTON,PARROQUIA,ZONA,LATITUD_Y,LONGITUD_X,DIRECCION,TIPO_DE_SINIESTRO,CAUSA_PROBABLE,TIPO_DE_VEHICULO_1,LESIONADOS,FALLECIDOS,FERIADO,ANIO,MES,DIA,DIA_SEMANA,NOMBRE_DIA,HORA_DECIMAL,HORA_NUM,RANGO_HORARIO,TOTAL_VICTIMAS,NUM_ACCIDENTES,RIESGO_PORCENTAJE,NIVEL_RIESGO
2024-07-10,21:16:00,CUENCA,CUENCA,URBANA,-2.891774,-79.008003,ANTONIO VEGA MUÑOZ Y JUAN MONTALVO,CHOQUE LATERAL,"CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FÍSICAS (SUEÑO, CANSANCIO Y FATIGA).",AUTOMÓVIL,0,0,NO,2024,7,10,2,MIERCOLES,21.266666666666666,21,NOCHE,0,5,45.45,MEDIO
2024-08-10,07:00:00,CUENCA,CUENCA,URBANA,-2.908426,-79.016847,AVENIDA 10 DE AGOSTO Y AVENIDA RICARDO MUÑOZ DAVILA,CHOQUE LATERAL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",AUTOMÓVIL,0,0,NO,2024,8,10,5,SABADO,7.0,7,MANANA,0,5,45.45,MEDIO
2024-08-10,19:00:00,CUENCA,CUENCA,URBANA,-2.876944,-78.941563,RED ESTATAL E35 KM 695 Y UCUBAMBA,ESTRELLAMIENTOS,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,1,0,NO,2024,8,10,5,SABADO,19.0,19,NOCHE,1,2,18.18,BAJO
2024-09-10,13:38:00,CUENCA,CUENCA,URBANA,-2.905882,-79.007338,AV. SOLANO Y REMIGIO TAMARIZ CRESPO,ROZAMIENTOS,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,CAMIÓN,1,0,NO,2024,9,10,1,MARTES,13.633333333333333,13,TARDE,1,6,54.55,MEDIO
2024-09-10,15:13:00,CUENCA,BAÑOS (CUENCA),URBANA,-2.919222,-79.060952,AV. RICARDO DURAN Y DE LA CABALLERIA,ATROPELLOS,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,1,0,NO,2024,9,10,1,MARTES,15.216666666666667,15,TARDE,1,1,9.09,BAJO
2024-09-10,15:40:00,CUENCA,CUENCA,URBANA,-2.886298,-79.008747,AV. DE LAS AMÉRICAS Y AV. DEL CHOFER,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",MOTOCICLETA,2,0,NO,2024,9,10,1,MARTES,15.666666666666666,15,TARDE,2,6,54.55,MEDIO
2024-09-10,20:41:00,CUENCA,CUENCA,URBANA,-2.919323,-79.024176,DIEGO DE TAPIA Y AVENIDA 12 DE OCTUBRE,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,1,0,NO,2024,9,10,1,MARTES,20.683333333333334,20,NOCHE,1,6,54.55,MEDIO
2024-11-10,12:53:00,CUENCA,CUENCA,URBANA,-2.905244,-79.006881,AVENIDA FRAY VICENTE SOLANO Y AVENIDA FLORENCIA ASTUDILLO,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,0,0,SI,2024,11,10,6,DOMINGO,12.883333333333333,12,TARDE,0,2,18.18,BAJO
2024-11-10,19:26:00,CUENCA,CUENCA,URBANA,-2.877252,-78.941939,RED ESTATAL  E35 KM696 AZOGUES-CUENCA Y ENTRADA A UCUBAMBA,ESTRELLAMIENTOS,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,0,0,SI,2024,11,10,6,DOMINGO,19.433333333333334,19,NOCHE,0,1,9.09,BAJO
2024-12-10,16:45:00,CUENCA,CUENCA,URBANA,-2.891009,-79.011054,ANTONIO VEGA MUÑOZ Y MIGUEL VÉLEZ,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,0,0,SI,2024,12,10,1,MARTES,16.75,16,TARDE,0,1,9.09,BAJO
2024-10-13,12:04:00,CUENCA,VALLE,URBANA,-2.937212,-78.979994,CAMINO A SAN MIGUEL Y VIA A CUATRO ESQUINAS,ESTRELLAMIENTOS,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CAMIONETA,0,0,SI,2024,10,13,6,DOMINGO,12.066666666666666,12,TARDE,0,1,9.09,BAJO
2024-10-14,06:55:00,CUENCA,CUENCA,URBANA,-2.913206,-79.02172,AVENIDA 12 DE OCTUBRE Y CRISTOBAL COLON,ATROPELLOS,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",MOTOCICLETA,1,0,NO,2024,10,14,0,LUNES,6.916666666666667,6,MANANA,1,4,36.36,BAJO
2024-10-14,07:56:00,CUENCA,RICAURTE (CUENCA),URBANA,-2.863611,-78.95869,VIA AL QUINCHE Y ALEJANDRO PADILLA,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CAMIONETA,1,0,NO,2024,10,14,0,LUNES,7.933333333333334,7,MANANA,1,1,9.09,BAJO
2024-10-14,19:18:00,CUENCA,CUENCA,URBANA,-2.905802,-78.996393,AVENIDA HUAYNA CAPAC Y CACIQUE DUMA,CHOQUE LATERAL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",AUTOMÓVIL,2,0,NO,2024,10,14,0,LUNES,19.3,19,NOCHE,2,2,18.18,BAJO
2024-10-15,13:53:00,CUENCA,CUENCA,URBANA,-2.908582,-79.016976,AV. 10 DE AGOSTO Y AV.  RICARDO MUÑOZ DAVILA,CHOQUE LATERAL,DISPOSITIVO REGULADOR DE TRÁNSITO EN MAL ESTADO DE FUNCIONAMIENTO (SEMÁFORO).,AUTOMÓVIL,0,0,NO,2024,10,15,1,MARTES,13.883333333333333,13,TARDE,0,2,18.18,BAJO
2024-10-15,20:54:00,CUENCA,CUENCA,URBANA,-2.910998,-78.993115,AV DEL PARAISO Y PASAJE DEL PARAISO,ARROLLAMIENTOS,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",NO IDENTIFICADO,1,0,NO,2024,10,15,1,MARTES,20.9,20,NOCHE,1,4,36.36,BAJO
2024-10-16,17:35:00,CUENCA,CUENCA,URBANA,-2.887682,-79.035784,AV DE LOS CEREZOS Y DEL BOG,ATROPELLOS,"ADELANTAR O REBASAR A OTRO VEHÍCULO EN MOVIMIENTO EN ZONAS O SITIOS PELIGROSOS TALES COMO: CURVAS, PUENTES, TÚNELES, PENDIENTES, ETC.",NO IDENTIFICADO,1,0,NO,2024,10,16,2,MIERCOLES,17.583333333333332,17,TARDE,1,5,45.45,MEDIO
